celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score,week1_avg_score,week2_avg_score,week3_avg_score,week4_avg_score,week5_avg_score,week6_avg_score,week7_avg_score,week8_avg_score,week9_avg_score,week10_avg_score,week11_avg_score,ind_Actor/Actress,ind_Astronaut,ind_Athlete,ind_Beauty Pagent,ind_Comedian,ind_Con artist,ind_Conservationist,ind_Entrepreneur,ind_Fashion Designer,ind_Fitness Instructor,ind_Journalist,ind_Magician,ind_Military,ind_Model,ind_Motivational Speaker,ind_Musician,ind_News Anchor,ind_Politician,ind_Producer,ind_Racing Driver,ind_Radio Personality,ind_Singer/Rapper,ind_Social Media Personality,ind_Social media personality,ind_Sports Broadcaster,ind_TV Personality
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,7.0,7.0,6.0,,8.0,9.0,9.0,,9.0,8.0,7.0,,7.0,8.0,6.0,,9.0,9.0,9.0,,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,6.666666666666667,8.666666666666666,8.0,7.0,9.0,9.0,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,5.0,4.0,4.0,,5.0,6.0,6.0,,6.0,7.0,8.0,,9.0,9.0,8.0,,8.5,7.5,7.5,,8.5,9.5,9.5,,,,,,,,,,,,,,,,,,,,,,4.333333333333333,5.666666666666667,7.0,8.666666666666666,7.833333333333333,9.166666666666666,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,5.0,7.0,6.0,,5.0,4.0,5.0,,5.0,4.0,4.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,6.0,4.666666666666667,4.333333333333333,,,,,,,,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,1,Eliminated Week 4,4,7.0,6.0,7.0,,8.0,8.0,8.0,,8.0,9.0,9.0,,7.0,9.0,9.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,6.666666666666667,8.0,8.666666666666666,8.333333333333334,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,7.0,7.0,6.0,,8.0,7.0,6.0,,7.0,7.0,8.0,,7.0,6.0,7.0,,8.5,7.0,7.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,6.666666666666667,7.0,7.333333333333333,6.666666666666667,7.5,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,1,Eliminated Week 2,6,6.0,6.0,6.0,,6.0,7.0,6.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,6.0,6.333333333333333,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Tatum O'Neal,Nick Kosovich,Actor/Actress,California,United States,42,2,Eliminated Week 2,9,7.0,8.0,8.0,,5.0,6.0,6.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,7.666666666666667,5.666666666666667,,,,,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,2,Eliminated Week 5,6,6.0,7.0,7.0,,7.0,8.0,7.0,,9.0,8.0,9.0,,9.0,8.0,8.0,,7.0,7.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,6.666666666666667,7.333333333333333,8.666666666666666,8.333333333333334,7.333333333333333,,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,2,Eliminated Week 6,5,7.0,5.0,6.0,,8.0,7.0,7.0,,7.0,7.0,8.0,,7.0,7.0,7.0,,8.0,8.0,8.0,,8.0,7.0,8.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,6.0,7.333333333333333,7.333333333333333,7.0,8.0,7.666666666666667,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,2,Eliminated Week 7,4,5.0,7.0,7.0,,6.0,7.0,7.0,,8.0,8.0,9.0,,9.0,9.0,8.0,,7.0,9.0,9.0,,9.0,9.0,9.0,,8.5,9.0,9.0,,0.0,0.0,0.0,,,,,,,,,,,,,,6.333333333333333,6.666666666666667,8.333333333333334,8.666666666666666,8.333333333333334,9.0,8.833333333333334,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,8.0,6.0,8.0,,9.0,10.0,10.0,,9.0,9.0,9.0,,8.0,9.0,9.0,,10.0,10.0,10.0,,10.0,10.0,10.0,,9.0,9.0,9.5,,9.3333,9.6666,9.6666,,,,,,,,,,,,,,7.333333333333333,9.666666666666666,9.0,8.666666666666666,10.0,10.0,9.166666666666666,9.5555,,,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,7.0,7.0,7.0,,7.0,8.0,8.0,,7.0,6.0,6.0,,8.0,8.0,8.0,,7.0,8.0,8.0,,8.0,7.0,8.0,,7.0,7.0,6.5,,9.0,9.0,8.6666,,,,,,,,,,,,,,7.0,7.666666666666667,6.333333333333333,8.0,7.666666666666667,7.666666666666667,6.833333333333333,8.888866666666667,,,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Giselle Fernandez,Jonathan Roberts,News Anchor,,Mexico,44,2,Eliminated Week 3,8,7.0,8.0,8.0,,8.0,8.0,8.0,,7.0,8.0,7.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,7.666666666666667,8.0,7.333333333333333,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,2,Eliminated Week 4,7,4.0,4.0,4.0,,6.0,5.0,5.0,,6.0,4.0,4.0,,4.0,2.0,2.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,4.0,5.333333333333333,4.666666666666667,2.6666666666666665,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
